4.705,94.6,1239.9,0.916,0.526,4.943,0.247,75.83,3.607
2.278,70.7,365.6,1.712,0.345,1.76,0,0,0
7.226,112.1,408.7,2.013,0.577,0.767,0.002,11.54,1
10.17,155.5,2928.9,1.254,0.704,5,0.762,23.84,1
6.252,136.9,1887.1,1.556,0.594,4.998,0,0,0
5.239,195,2153.7,1.247,0.661,5,0,0,0
31.175,38.2,682.5,0.195,0.491,2.606,5.695,3,1
6.405,59.9,1064.7,1.735,0.515,5,0.007,5,0.517
15.721,84.2,908.9,1.164,0.545,1.669,3.51,5,1
3.605,308.2,1200,1.891,0.658,0.563,0,0,0
0.191,591.9,640.7,1.828,0.838,4.869,0.457,11.99,1
0.196,578.5,595.1,1.895,1.119,1.602,0.108,30.11,1.971
27.098,5.8,467.5,2.612,0.453,3.28,0,0,0